Name,Type,Nation,Epoch
Piaggio P.108 Bombardiere,Bomber,Италия (фашисты),World War II;
PZL P.37 Los,Bomber,Польша,World War II;
PZL P.46 Sum,Bomber,Польша,World War II;
Rogozarski R-313,Bomber,Югославия,World War II;
SAAB 17,Bomber,Швеция,World War II;
SAAB 18,Bomber,Швеция,World War II;
Savoia Marchetti SM.79 Sparviero,Bomber,Италия (фашисты),World War II;
Savoia Marchetti SM.81 Pipistrello,Bomber,Италия (фашисты),World War II;
Savoia Marchetti SM.84,Bomber,Италия (фашисты),World War II;
Savoia Marchetti SM.93,Bomber,Германия (нацисты),World War II;
Short Stirling,Bomber,Великобритания,World War II;
Tachikawa Ki-74,Bomber,Япония,World War II;
Vickers Warwick,Bomber,Великобритания,World War II;
Vickers Wellington,Bomber,Великобритания,World War II;
Vought SB2U Vindicator Chesapeake,Bomber,США,World War II;
Yokosuka D4Y Suisei Judy,Bomber,Япония,World War II;
Yokosuka P1Y Ginga,Bomber,Япония,World War II;
Ильюшин Ил-2,Attack,СССР/Россия,World War II;
Ильюшин Ил-10,Attack,СССР/Россия,World War II;
Поликарпов ВИТ-1 ВИТ-2,Attack,СССР/Россия,World War II;
Сухой Су-8,Attack,СССР/Россия,World War II;
Сухой Су-6,Attack,СССР/Россия,World War II;
Томашевич ЛШБД Пегас,Attack,СССР/Россия,World War II;
Beech Model 28 Destroyet XA-38 Grizzly,Attack,США,World War II;
Commonwealth CA-4 CA-11 Wackett Bomber Woomera,Attack,Австралия,World War II;
Curtiss BTC,Attack,США,World War II;
Douglas A-20 DB-7 P-70 Boston Havoc,Attack,СССР/Россия,World War II;
Douglas A-26 B-26 Invader,Attack,Франция,World War II;
Farner-Werke C-3602 C-3603 C-3605,Attack,Швейцария,World War II;
Henschel Hs.129,Attack,Германия (нацисты),World War II;
Junkers Ju EF112,Attack,Германия (нацисты),World War II;
Manshu Ki-98,Attack,Япония,World War II;
Mitsubishi Ki-51 Sonya,Attack,Япония,World War II;
Tachikawa Ki-36 Ki-55 Ki-72 Ida,Attack,Китай (Маньчжоу-Го),World War II;
Vultee A-31 A-35(V-72) Vengeance,Attack,Австралия,World War II;
Антонов А-7,Transport,СССР/Россия,World War II;
Антонов ГПС,Transport,Другие,World War II;
Грибовский Г-29 (Г-11),Transport,СССР/Россия,World War II;
Колесников КЦ-20,Transport,СССР/Россия,World War II;
Лисунов Ли-2,Transport,СССР/Россия,World War II;
Москалев САМ-23,Transport,СССР/Россия,World War II;
Поликарпов БДП БДП-2,Transport,СССР/Россия,World War II;
Щербаков Ще-2,Transport,Польша,World War II;
Яковлев Як-6,Transport,СССР/Россия,World War II;
Airspeed AS.51 Horsa,Transport,Великобритания,World War II;
Arado Ar.232,Transport,Германия (нацисты),World War II;
Avro 685 York,Transport,Великобритания,World War II;
Beech Model 18 C-45 AT-11 Expeditor Kansan,Transport,США,World War II;
Bloch MB.161 SE-161 Languedoc,Transport,Франция,World War II;
Bloch MB.220,Transport,Франция,World War II;
Blohm und Voss BV.144,Transport,Франция,World War II;
Boeing Model 307 Stratoliner C-75,Transport,США,World War II;
Bowlus XCG-8,Transport,США,World War II;
Budd RB-1 C-93 Conestoga,Transport,США,World War II;
Caudron C.440 C.444 C.445 C.448 C.449 Goeland,Transport,Франция,World War II;
Caudron-Renault CR.570 Kangourou,Transport,Франция,World War II;
Curtiss-Wright CW-20 C-46 C-55 Commando,Transport,США,World War II;
DFS 230,Transport,Германия (нацисты),World War II;
Douglas DC-1 DC-2 DC-3 C-47 C-53 R4D Dakota,Transport,США,World War II;
Douglas DC-4 C-54 R5D Skymaster,Transport,США,World War II;
Douglas DC-5 C-110 R3D,Transport,США,World War II;
General Aircraft GAL.48 Hotspur,Transport,Великобритания,World War II;
General Aircraft GAL.49 58 Hamilcar,Transport,Великобритания,World War II;
Gotha Go.242 Go.244,Transport,Германия (нацисты),World War II;
Junkers Ju.52,Transport,Германия (нацисты),World War II;
Junkers Ju.252 Ju.352,Transport,Германия (нацисты),World War II;
Junkers Ju.322 EF94 Mammoth,Transport,Германия (нацисты),World War II;
Kokusai Ki-105 Ohtori,Transport,Япония,World War II;
Lockheed Model 10 12 14 18 C-60 Electra Lodestar,Transport,LOT,World War II;
Messerschmitt Me.321 323 Gigant,Transport,Германия (нацисты),World War II;
Mitsubishi Ki-57 Topsy,Transport,Япония,World War II;
Nakajima Ki-34 L1N Thora,Transport,Китай (Маньчжоу-Го),World War II;
Noorduyn C-64 Norseman,Transport,Израиль,World War II;
PZL P.44 Wicher,Transport,LOT,World War II;
Savoia Marchetti SM.75 SM.76 Marsupiale,Transport,Венгрия,World War II;
Savoia Marchetti SM.82 Canguru,Transport,Италия (фашисты),World War II;
Tachikawa Ki-54 Hickory,Transport,Япония,World War II;
Waco CG-3,Transport,США,World War II;
Waco CG-4 Hadrian,Transport,США,World War II;
Aeronca Model 65 Chief YO-56 O-58 L-3 Grasshopper,Other,США,World War II;
Auster Auster,Other,Великобритания,World War II;
Airspeed AS.10 Oxford,Other,Великобритания,World War II;
Arado Ar.79,Other,Германия (нацисты),World War II;
Arado Ar.96,Other,Германия (нацисты),World War II;
Arado Ar.296 Ar.396 S.11 S.12,Other,Франция,World War II;
Avro 652 Anson,Other,Великобритания,World War II;
Beech Model 17 Staggerwing Traveller,Other,США,World War II;
Benes Mraz Be.50 Be.51 Beta Minor,Other,Другие,World War II;
Benes Mraz Be.60 Bestiola,Other,Германия (нацисты),World War II;
Benes Mraz Be.550 Bibi,Other,Другие,World War II;
Bestetti BN.1,Other,Другие,World War II;
Bucker Bu.180 Student,Other,Германия (нацисты),World War II;
Bucker Bu.181 Bestmann,Other,Германия (нацисты),World War II;
Bucker Bu.182 Kornett,Other,Германия (нацисты),World War II;
Caproni Ca.163 Ca.164,Other,Италия (фашисты),World War II;
Cessna AT-8 UC-78 T-50 Bobcat,Other,США,World War II;
Cessna AT-17,Other,Китай (националисты),World War II;
Cessna C-37 Airmaster,Other,Финляндия,World War II;
Commonwealth CA-2 CA-6 Wackett Trainer,Other,Австралия,World War II;
Curtiss AT-9 Jeep,Other,США,World War II;
Curtiss-Wright O-52 Owl,Other,СССР/Россия,World War II;
CVV CVV.2 Asiago,Other,Италия (Сало),World War II;
CVV CVV.6 Canguro,Other,Италия (Сало),World War II;
DAR DAR-9 Sinigir,Other,Болгария,World War II;
de Havilland DH.82 Tiger Moth Queen Bee,Other,Великобритания,World War II;
DFS Meise Olympia Meise,Other,Другие,World War II;
ERCO Ercoupe Alon Aircoupe,Other,Другие,World War II;
Fairchild G24 De Luxe,Other,Финляндия,World War II;
Fairchild PT-19 PT-23 PT-26 M.62 Cornell,Other,Норвегия,World War II;
Fairchild UC-61 Forwarder Argus,Other,Великобритания,World War II;
Fleet 7 10 16 Finch,Other,Румыния,World War II;
Fieseler Fi.156 Storch MS.500 Criquet,Other,Германия (нацисты),World War II;
Fieseler Fi.158,Other,Германия (нацисты),World War II;
Fieseler Fi.167,Other,Германия (нацисты),World War II;
Focke-Wulf Fw.58 Weihe,Other,Германия (нацисты),World War II;
General Aircraft GAL.42 Cygnet,Other,Великобритания,World War II;
Hanriot H.232,Other,Финляндия,World War II;
Harlow PC-5,Other,Великобритания,World War II;
Hawker Henley,Other,Великобритания,World War II;
Henschel Hs.126,Other,Германия (нацисты),World War II;
IAR IAR-37 IAR-38 IAR-39,Other,Румыния,World War II;
IMAM Ro.63,Other,Италия (фашисты),World War II;
Kaproni-Bulgarski KB-5 Chuchuliga III,Other,Болгария,World War II;
Kaproni-Bulgarski KB-11 Fazan,Other,Болгария,World War II;
Kokusai Ki-76 Stella,Other,Япония,World War II;
Kyushu K10W Oak,Other,Япония,World War II;
Kyushu K11W Shiragiku,Other,Япония,World War II;
Laister-Kauffman TG-4,Other,США,World War II;
Maeda Ku-1,Other,Япония,World War II;
Manshu Ki-79,Other,Япония,World War II;
Messerschmitt Bf.108 Taifun,Other,Германия (нацисты),World War II;
Miles M.9 M.19 M.24 M.27 Master,Other,Великобритания,World War II;
Miles M.14 M.18 Magister,Other,Великобритания,World War II;
Miles M.25 Martinet,Other,Великобритания,World War II;
Miles M.38 Messenger,Other,Великобритания,World War II;
Nardi FN.305,Other,Румыния,World War II;
North American Texan Harvard Wirraway BT-9 BT-14,Other,Португалия,World War II;
Percival P.28 30 31 34 Proctor,Other,Франция,World War II;
Percival Q.6 Petrel,Other,Великобритания,World War II;
Piper L-4 J-3 J-4 O-58 O-59 PA-11 Cub Grasshopper CAP-4 Paulistinha,Other,США,World War II;
Rogozarski Freshman,Other,Югославия,World War II;
Ryan PT-25,Other,США,World War II;
SAI KZ.IV,Other,Другие,World War II;
SAIMAN 200,Other,Италия (фашисты),World War II;
SAIMAN 202 204,Other,Германия (нацисты),World War II;
Schneider SG-38,Other,Польша,World War II;
SEA Teziutlan,Other,Мексика,World War II;
Siebel FH.104 Hallore,Other,Германия (нацисты),World War II;
Siebel Si.202 Hummel,Other,Словакия,World War II;
Siebel Si.204 C3B,Other,Франция,World War II;
Slingsby Aviation T.21,Other,Другие,World War II;
Stearman XBT-17,Other,США,World War II;
Stinson L-1 O-49 Vigilant,Other,США,World War II;
Stinson L-5 Sentinel,Other,США,World War II;
Taylorcraft L-2 O-57 TG-6 Grasshopper,Other,США,World War II;
VL Pyry I,Other,Финляндия,World War II;
VL Tuisku I II,Other,Финляндия,World War II;
VL Viima I II,Other,Финляндия,World War II;
Vultee BT-13 SNV V-74 Valiant,Other,США,World War II;
Watanabe Ki-86 Cypress,Other,Китай (рев.),World War II;
Westland Lysander,Other,Великобритания,World War II;
Бериев Бе-4 КОР-2,Sea,СССР/Россия,World War II;
Бериев МБР-2,Sea,СССР/Россия,World War II;
Бериев МБР-7,Sea,Другие,World War II;
Четвериков МДР-6 (Че-2),Sea,СССР/Россия,World War II;
Шавров Ш-2,Sea,СССР/Россия,World War II;
Aichi E13A Jake,Sea,Япония,World War II;
Aichi E16A Zuiun,Sea,Япония,World War II;
Aichi H9A,Sea,Япония,World War II;
Aichi M6A Seiran Nanzan,Sea,Япония,World War II;
Arado Ar.95,Sea,Германия (нацисты),World War II;
Arado Ar.196,Sea,Германия (нацисты),World War II;
Arado Ar.199,Sea,Германия (нацисты),World War II;
Arado Ar.231,Sea,Германия (нацисты),World War II;
Blohm und Voss BV.138,Sea,Германия (нацисты),World War II;
Blohm und Voss BV.222 Wiking,Sea,Германия (нацисты),World War II;
Blohm und Voss BV.238,Sea,Германия (нацисты),World War II;
Boeing Model 314 Clipper,Sea,PAA,World War II;
Consolidated PBY Catalina,Sea,США,World War II;
Consolidated PB2Y Coronado,Sea,США,World War II;
Curtiss SC-1 Seahawk,Sea,США,World War II;
CRDA CANT Z.501 Gabbiano,Sea,Италия (фашисты),World War II;
CRDA CANT Z.506 Airone,Sea,Италия (фашисты),World War II;
Dornier Do.22,Sea,Югославия,World War II;
Dornier Do.24,Sea,Германия (нацисты),World War II;
Dornier Do.26,Sea,Германия (нацисты),World War II;
Fiat RS.14,Sea,Италия (фашисты),World War II;
Fokker C.XIV-w,Sea,Нидерланды,World War II;
Fokker T.VIII,Sea,Великобритания,World War II;
Grumman G-21 Goose,Sea,Франция,World War II;
Grumman G-44 Widgeon,Sea,США,World War II;
Heinkel He.115,Sea,Германия (нацисты),World War II;
Kawanishi H6K Mavis,Sea,Япония,World War II;
Kawanishi H8K Emily,Sea,Япония,World War II;
Martin JRM-1 3 Mars,Sea,США,World War II;
Martin PBM Mariner,Sea,США,World War II;
Northrop N-3,Sea,Норвегия,World War II;
Rogozarski SIM-XIV,Sea,Югославия,World War II;
RWD RWD-22,Sea,Польша,World War II;
Saunders-Roe S.36 Lerwick,Sea,Великобритания,World War II;
Short S.25 Sunderland Hythe Sandringham,Sea,Великобритания,World War II;
Sikorsky VS-44 XPBS-1,Sea,AEA,World War II;
Supermarine Seagull Walrus,Sea,Великобритания,World War II;
Supermarine Sea Otter,Sea,Великобритания,World War II;
Vought OS2U Kingfisher,Sea,США,World War II;
Yokosuka E14Y Glen,Sea,Япония,World War II;
Yokosuka K4Y,Sea,Япония,World War II;
Антонов А-40 КТ,Special,СССР/Россия,World War II;
Березняк и Исаев БИ,Special,СССР/Россия,World War II;
Болховитинов И-1,Special,СССР/Россия,World War II;
Гудков Гу-82,Special,СССР/Россия,World War II;
Никитин и Шевченко ИС-1 ИС-2,Special,СССР/Россия,World War II;
МиГ МиГ-13 (И-250),Special,СССР/Россия,World War II;
ХАИ Р-10,Special,СССР/Россия,World War II;
Airspeed AS.39 Fleet Shadower,Special,СССР/Россия,World War II;
Arado Ar.240,Special,Германия (нацисты),World War II;
Berlin B.9,Special,Германия (нацисты),World War II;
Blohm und Voss BV.141,Special,Германия (нацисты),World War II;
BMW Flugelrad,Special,Другие,World War II;
Caproni N.1 CC.2,Special,Италия (фашисты),World War II;
Culver PQ-14,Special,США,World War II;
Curtiss SO3C Seamew,Special,США,World War II;
Curtiss XP-55 Ascender,Special,США,World War II;
Daimler-Benz project F,Special,Германия (нацисты),World War II;
DFS 228,Special,Германия (нацисты),World War II;
DFS 346,Special,Германия (нацисты),World War II;
DFS Habicht,Special,Германия (нацисты),World War II;
Fiat CR.25,Special,Италия (фашисты),World War II;
Fieseler Fi.103 Fi.103R Reichenberg JB-2 V-1,Special,Германия (нацисты),World War II;
Focke-Wulf Fw.189 Uhu,Special,Германия (нацисты),World War II;
Gloster G.40 E.28 39 Pioneer,Special,Великобритания,World War II;
Heinkel He.178,Special,Германия (нацисты),World War II;
Henschel Hs.130,Special,Германия (нацисты),World War II;
Hughes XP-73 XA-37 D-2 D-5 XF-11,Special,Другие,World War II;
HVP V-2 A4,Special,Германия (нацисты),World War II;
Junkers Mistel,Special,Германия (нацисты),World War II;
Junkers Ju.388,Special,Германия (нацисты),World War II;
Kawasaki Ki-78,Special,Япония,World War II;
Kokusai Ta-Go,Special,Япония,World War II;
Kugisho MXY-3 MXY-4,Special,Япония,World War II;
Lippisch Gleiter-Bombenfleugzeuge,Special,Германия (нацисты),World War II;
Lippisch P.13A DM-1,Special,Германия (нацисты),World War II;
Messerschmitt Me.261,Special,Германия (нацисты),World War II;
Messerschmitt P.1109,Special,Германия (нацисты),World War II;
Miles M.39 Libellula,Special,Великобритания,World War II;
Mitsubishi Ki-46 Dinah,Special,Япония,World War II;
Nakajima C6N Saiun,Special,Япония,World War II;
Nakajima Ki-115 Tsurugi,Special,Япония,World War II;
Napier-Heston J.5,Special,Другие,World War II;
Payen Pa.22,Special,Германия (нацисты),World War II;
RAF Balloon Mk.VII,Special,Великобритания,World War II;
Sack AS-6,Special,Германия (нацисты),World War II;
Sanger Amerika Bomber,Special,Германия (нацисты),World War II;
Yokosuka MXY-7 Ohka,Special,Япония,World War II;
Камов АК,Helicopter,СССР/Россия,World War II;
Doblhoff WNF-342,Helicopter,Другие,World War II;
<<<<<<< HEAD
Flettner Fl.265,Helicopter,Германия (нацисты),World War II;
Flettner Fl.282 Kolibri,Helicopter,Германия (нацисты),World War II;
Flettner Fl.339,Helicopter,Германия (нацисты),World War II;
Focke-Achgelis Fa.223 Drache,Helicopter,Германия (нацисты),World War II;
Focke-Achgelis Fa.225,Helicopter,Германия (нацисты),World War II;
Focke-Achgelis Fa.330 Bachstelze,Helicopter,Германия (нацисты),World War II;
Kayaba Ka-1 Ka-2,Helicopter,Япония,World War II;
Kellet KD-1 YG-1X O-60 XR-2 XR-3,Helicopter,США,World War II;
Sikorsky S-47 S-48 S-49 R-4 R-6 VS-300 Hoverfly,Helicopter,США,World War II;
Алексеев И-211 И-215,Fighter,СССР/Россия,Cold war;
Антонов Э-153 ""Маша"",Fighter,СССР/Россия,Cold war;
Лавочкин Ла-9 Ла-11,Fighter,СССР/Россия,Cold war;
Лавочкин Ла-15,Fighter,СССР/Россия,Cold war;
Лавочкин Ла-150,Fighter,СССР/Россия,Cold war;
Лавочкин Ла-152 Ла-154 Ла-156,Fighter,СССР/Россия,Cold war;
Лавочкин Ла-174,Fighter,СССР/Россия,Cold war;
Лавочкин Ла-200,Fighter,СССР/Россия,Cold war;
Лавочкин Ла-250,Fighter,СССР/Россия,Cold war;
МиГ И-3 И-3П И-3У И-7 И-7К И-7У И-75 (И-380 И-410 И-420),Fighter,СССР/Россия,Cold war;
МиГ И-270 (Ж),Fighter,СССР/Россия,Cold war;
МиГ МиГ-9,Fighter,СССР/Россия,Cold war;
МиГ МиГ-15 J-2 Lim-1 Lim-2,Fighter,СССР/Россия,Cold war;
МиГ МиГ-17 J-5 Lim-5 Lim-6,Fighter,Вьетнам (ДРВ),Cold war;
МиГ МиГ-19 J-6,Fighter,Пакистан,Cold war;
МиГ МиГ-21 J-7,Fighter,СССР/Россия,Cold war;
МиГ МиГ-23,Fighter,СССР/Россия,Cold war;
МиГ МиГ-25,Fighter,СССР/Россия,Cold war;
Сухой Су-9 Су-11 Су-13 (изделие К ЛК),Fighter,СССР/Россия,Cold war;
Сухой Су-15 (изделие П),Fighter,СССР/Россия,Cold war;
Сухой Су-17 (изделие Р),Fighter,СССР/Россия,Cold war;
Сухой Су-7,Fighter,СССР/Россия,Cold war;
Сухой Су-9 Су-11,Fighter,СССР/Россия,Cold war;
Сухой Су-15,Fighter,СССР/Россия,Cold war;
=======
Flettner Fl.265,Helicopter,Другие,World War II;
Flettner Fl.282 Kolibri,Helicopter,Другие,World War II;
Flettner Fl.339,Helicopter,Другие,World War II;
Focke-Achgelis Fa.223 Drache,Helicopter,Другие,World War II;
Focke-Achgelis Fa.225,Helicopter,Другие,World War II;
Focke-Achgelis Fa.330 Bachstelze,Helicopter,Другие,World War II;
Kayaba Ka-1 Ka-2,Helicopter,Другие,World War II;
Kellet KD-1 YG-1X O-60 XR-2 XR-3,Helicopter,Другие,World War II;
Sikorsky S-47 S-48 S-49 R-4 R-6 VS-300 Hoverfly,Helicopter,Другие,World War II;
Алексеев И-211 И-215,Fighter,Другие,Cold war;
"Антонов Э-153 ""Маша""",Fighter,Другие,Cold war;
Лавочкин Ла-9 Ла-11,Fighter,Другие,Cold war;
Лавочкин Ла-15,Fighter,Другие,Cold war;
Лавочкин Ла-150,Fighter,Другие,Cold war;
Лавочкин Ла-152 Ла-154 Ла-156,Fighter,Другие,Cold war;
Лавочкин Ла-174,Fighter,Другие,Cold war;
Лавочкин Ла-200,Fighter,Другие,Cold war;
Лавочкин Ла-250,Fighter,Другие,Cold war;
МиГ И-3 И-3П И-3У И-7 И-7К И-7У И-75 (И-380 И-410 И-420),Fighter,Другие,Cold war;
МиГ И-270 (Ж),Fighter,Другие,Cold war;
МиГ МиГ-9,Fighter,Другие,Cold war;
МиГ МиГ-15 J-2 Lim-1 Lim-2,Fighter,Другие,Cold war;
МиГ МиГ-17 J-5 Lim-5 Lim-6,Fighter,Другие,Cold war;
МиГ МиГ-19 J-6,Fighter,Другие,Cold war;
МиГ МиГ-21 J-7,Fighter,Другие,Cold war;
МиГ МиГ-23,Fighter,Другие,Cold war;
МиГ МиГ-25,Fighter,Другие,Cold war;
Сухой Су-9 Су-11 Су-13 (изделие К ЛК),Fighter,Другие,Cold war;
Сухой Су-15 (изделие П),Fighter,Другие,Cold war;
Сухой Су-17 (изделие Р),Fighter,Другие,Cold war;
Сухой Су-7,Fighter,Другие,Cold war;
Сухой Су-9 Су-11,Fighter,Другие,Cold war;
Сухой Су-15,Fighter,Другие,Cold war;
>>>>>>> 4ef0785c08bfef3aba899021867ede239f0dbbbe
Сухой Т-3 Т-37,Fighter,Другие,Cold war;
Туполев Ту-28 Ту-128,Fighter,СССР/Россия,Cold war;
Яковлев Як-15 Як-21,Fighter,СССР/Россия,Cold war;
Яковлев Як-17,Fighter,СССР/Россия,Cold war;
Яковлев Як-19,Fighter,СССР/Россия,Cold war;
Яковлев Як-23,Fighter,Польша,Cold war;
Яковлев Як-25 (первый),Fighter,СССР/Россия,Cold war;
Яковлев Як-25 (второй),Fighter,СССР/Россия,Cold war;
Яковлев Як-50 (первый),Fighter,СССР/Россия,Cold war;
l'Arsenal VB-10,Fighter,Франция,Cold war;
Atlas Cheetah,Fighter,Южная Африка,Cold war;
Avia S.199,Fighter,Чехословакия,Cold war;
Avro Canada CF-100 Canuck,Fighter,Бельгия,Cold war;
Avro Canada CF-105 Arrow,Fighter,Канада,Cold war;
Chance Vought XF5U Flying PanCake,Fighter,США,Cold war;
Chance Vought F6U Pirate,Fighter,США,Cold war;
Chance Vought F7U Cutlass,Fighter,США,Cold war;
Commonwealth CA-15 Kangaroo,Fighter,Австралия,Cold war;
Convair XP-81,Fighter,США,Cold war;
Convair F2Y F-7 Sea Dart,Fighter,США,Cold war;
Convair F-102 Delta Dagger,Fighter,США,Cold war;
Convair F-106 Delta Dart,Fighter,США,Cold war;
Curtiss XF-87 Blackhawk,Fighter,США,Cold war;
Dassault MD.450 Ouragan,Fighter,Франция,Cold war;
Dassault MD.452 MD.454 Mystere II IV,Fighter,Франция,Cold war;
Dassault Super Mystere,Fighter,Франция,Cold war;
Dassault Mirage III,Fighter,Франция,Cold war;
Dassault Mirage 5 50 Milan,Fighter,Франция,Cold war;
Dassault Mirage F.1,Fighter,Франция,Cold war;
de Havilland DH.100 DH.113 DH.115 Vampire,Fighter,Великобритания,Cold war;
de Havilland DH.103 Hornet,Fighter,Великобритания,Cold war;
de Havilland DH.110 Sea Vixen,Fighter,Великобритания,Cold war;
de Havilland DH.112 Venom,Fighter,Швейцария,Cold war;
Douglas F3D F-10 Skyknight,Fighter,США,Cold war;
Douglas F4D F-6 Skyray,Fighter,США,Cold war;
Douglas F5D Skylancer,Fighter,Другие,Cold war;
English Electric Lightning,Fighter,Великобритания,Cold war;
FMA IAe.27 IAe.33 Pulqui I II,Fighter,Аргентина,Cold war;
Folland Gnat,Fighter,Индия,Cold war;
Gloster CXP-1001,Fighter,Великобритания,Cold war;
Gloster Javelin,Fighter,Великобритания,Cold war;
Gloster Meteor,Fighter,Великобритания,Cold war;
Grumman F7F Tigercat,Fighter,США,Cold war;
Grumman F8F Bearcat,Fighter,США,Cold war;
Grumman F9F Panther Cougar,Fighter,США,Cold war;
Grumman F10F Jaguar,Fighter,США,Cold war;
Grumman F11F Tiger,Fighter,США,Cold war;
HAL Ajeet,Fighter,Индия,Cold war;
Hawker Hunter,Fighter,Великобритания,Cold war;
Hawker Sea Fury,Fighter,Канада,Cold war;
Hawker Sea Hawk,Fighter,Великобритания,Cold war;
Helwan HA-300 P-300,Fighter,Египет (ОАР),Cold war;
Hispano HA-1109 1112 Buchon,Fighter,Испания,Cold war;
IAI Kfir F-21 Lion,Fighter,Израиль,Cold war;
IAI Nesher Dagger Finger,Fighter,Аргентина,Cold war;
Ikarus S-49,Fighter,Югославия,Cold war;
Lockheed F-80 P-80 Shooting Star,Fighter,США,Cold war;
Lockheed F-94 Starfire,Fighter,США,Cold war;
Lockheed F-104 Starfighter,Fighter,Италия,Cold war;
Mc.Donnell FH-1 Phantom,Fighter,США,Cold war;
Mc.Donnell F2H Banshee,Fighter,США,Cold war;
Mc.Donnell F-85 Goblin,Fighter,США,Cold war;
Mc.Donnell F-101 Voodoo,Fighter,Канада,Cold war;
Mc.Donnell Douglas F3H Demon,Fighter,США,Cold war;
Mc.Donnell Douglas F-4 Phantom 2,Fighter,США,Cold war;
Mitsubishi F-1,Fighter,Япония,Cold war;
North American P-82 F-82 Twin Mustang,Fighter,США,Cold war;
North American F-86A E F H Sabre,Fighter,США,Cold war;
North American F-86D K L F-95A Sabre Dog,Fighter,США,Cold war;
North American FJ-1 FJ-2 FJ-3 FJ-4 Fury,Fighter,США,Cold war;
North American F-93,Fighter,США,Cold war;
North American F-100 Super Sabre,Fighter,США,Cold war;
North American F-107 Super Super Sabre,Fighter,США,Cold war;
Northrop F-5A B C Freedom Fighter,Fighter,Греция,Cold war;
Northrop F-5E F G F-20 Tiger 2 Tigershark,Fighter,США,Cold war;
Northrop F-89 Scorpion,Fighter,США,Cold war;
Republic F-84A B C D E G Thunderjet,Fighter,Франция,Cold war;
Republic F-84F Thunderstreak,Fighter,Франция,Cold war;
Republic XF-84H Thunderscreech,Fighter,США,Cold war;
Republic F-91 Thundeceptor,Fighter,США,Cold war;
Republic F-103 Thunderwarrior,Fighter,США,Cold war;
Republic F-105 Thunderchief,Fighter,США,Cold war;
SAAB J.29 Tunnan,Fighter,Швеция,Cold war;
SAAB J.32 Lansen,Fighter,Швеция,Cold war;
SAAB J.35 Draken,Fighter,Швеция,Cold war;
SAAB J.37 Viggen,Fighter,Швеция,Cold war;
Saunders-Roe SR.53,Fighter,Великобритания,Cold war;
Saunders-Roe SR.177,Fighter,Великобритания,Cold war;
Saunders-Roe SR.A 1,Fighter,Великобритания,Cold war;
SEPECAT Jaguar,Fighter,Франция,Cold war;
Sud-Est SE.201 202 203 204 Aquilon,Fighter,Франция,Cold war;
Sud-Ouest SO.4000 4050 Vautour I II,Fighter,Франция,Cold war;
Sud-Ouest SO.6020 6025 Espdon,Fighter,Другие,Cold war;
Supermarine Attacker,Fighter,Великобритания,Cold war;
Supermarine Scimitar,Fighter,Великобритания,Cold war;
Supermarine Swift,Fighter,Великобритания,Cold war;
Vought F8U F-8 Crusader,Fighter,США,Cold war;
Ильюшин Ил-22,Bomber,СССР/Россия,Cold war;
Ильюшин Ил-28 H-5,Bomber,Польша,Cold war;
Ильюшин Ил-30,Bomber,СССР/Россия,Cold war;
Ильюшин Ил-46,Bomber,СССР/Россия,Cold war;
Ильюшин Ил-54,Bomber,СССР/Россия,Cold war;
Мясищев 3М М-4 ВМ-Т,Bomber,СССР/Россия,Cold war;
Мясищев М-50 М-52,Bomber,СССР/Россия,Cold war;
Сухой Т-4 (100),Bomber,СССР/Россия,Cold war;
Туполев Ту-4,Bomber,СССР/Россия,Cold war;
Туполев Ту-14 Ту-73 Ту-82,Bomber,СССР/Россия,Cold war;
Туполев Ту-16 H-6,Bomber,СССР/Россия,Cold war;
Туполев Ту-22Б К,Bomber,СССР/Россия,Cold war;
Туполев Ту-85,Bomber,СССР/Россия,Cold war;
Туполев Ту-91 Бычок,Bomber,СССР/Россия,Cold war;
Туполев Ту-95 Ту-142,Bomber,СССР/Россия,Cold war;
Туполев Ту-98,Bomber,СССР/Россия,Cold war;
Яковлев Як-26,Bomber,СССР/Россия,Cold war;
Яковлев Як-28,Bomber,СССР/Россия,Cold war;
Avro 694 Lincoln,Bomber,Великобритания,Cold war;
Avro 698 Vulcan,Bomber,Великобритания,Cold war;
BAC TSR.2,Bomber,Великобритания,Cold war;
Boeing B-47 Stratojet,Bomber,США,Cold war;
Boeing B-52 Stratofortress,Bomber,США,Cold war;
Bristol Brigand,Bomber,Великобритания,Cold war;
Convair B-36 Peacemaker,Bomber,США,Cold war;
Convair B-58 Hustler,Bomber,США,Cold war;
Convair XAB-1 BETA-1,Bomber,США,Cold war;
Dassault Mirage IV,Bomber,Франция,Cold war;
Douglas A-3 Skywarrior,Bomber,США,Cold war;
Douglas B-66 Destroyer,Bomber,США,Cold war;
English Electric Canberra B-57,Bomber,Великобритания,Cold war;
General Dynamics F-111 EF-111 Aardvark Raven,Bomber,США,Cold war;
Handley Page HP.80 Victor,Bomber,Великобритания,Cold war;
Martin XB-51,Bomber,США,Cold war;
Lockheed CL-292,Bomber,США,Cold war;
North American AJ-1 AJ-2 A-2 Savage,Bomber,США,Cold war;
North American A-5 RA-5 Vigilante,Bomber,США,Cold war;
North American B-45 Tornado,Bomber,США,Cold war;
North American B-70 Valkyrie,Bomber,США,Cold war;
Northrop YB-35 YB-49 Flying Wing,Bomber,США,Cold war;
Vickers Valiant,Bomber,Великобритания,Cold war;
Ильюшин Ил-20,Attack,Другие,Cold war;
Ильюшин Ил-40 Ил-102,Attack,СССР/Россия,Cold war;
